Agreeableness,Conscientiousness,Extraversion,Resiliency,Honesty,Originality,Charity,Economists,Engineers,Maths,Social,STEM,Male,MSB,Private,Raven,RavenTime,TimesMPL1,TimesMPL2,TimesMPL3,TimesMPL4,TimesMPL5,TimesMPL6,TimesMPL7,TimesMPL8,TimesMPL9,TimesMPL10,TimesMPL11,SP,WIN,Group,Age,German,GermanLang
85,70,80,72.5,95,75,0,0,0,1,0,1,0,0,-1,9,176.344,6.79700000000002,2.53099999999994,2.10899999999992,2.26599999999996,2.40599999999994,2.06299999999998,1.40700000000003,1.34400000000005,3.51599999999996,2.23500000000001,2.21899999999993,5,0,7,23,1,1
67.5,42.5,62.5,30,70,72.5,0,0,1,0,0,1,1,0,-1,6,341.233999999999,3.59399999999993,11.046,2.15600000000006,1.34299999999996,1.17200000000002,1.46899999999993,3.3900000000001,2.26499999999998,2.65599999999994,1.6400000000001,2.93700000000001,0,1,7,24,0,0
42.5,55,52.5,27.5,65,75,0,0,0,0,1,0,1,0,-1,7,211.688,3.93799999999998,3.39099999999996,3.04700000000002,3.45299999999997,4.71900000000005,2.79700000000002,2.375,2.23400000000003,1.84299999999996,1.92200000000002,1.86000000000001,5,0,7,24,1,1
65,55,87.5,30,52.5,75,0,0,0,0,1,0,0,0,1,6,301.841999999999,13.157,3.84399999999993,3.89100000000007,10.8589999999999,11.1719999999999,16.812,2.04700000000002,2.90600000000006,3.23399999999992,2.89100000000007,4.35899999999992,5,1,7,23,0,0
80,47.5,52.5,62.5,70,52.5,0,0,0,1,0,1,1,0,1,8,112.860999999999,3.25,3.70299999999997,5.85900000000003,3.82799999999997,1.61000000000001,1.73500000000001,1.68799999999998,1.89099999999996,1.42199999999991,1.73500000000001,2.06200000000001,2,1,7,23,0,1
37.5,47.5,52.5,47.5,55,50,0,1,0,0,0,0,0,0,-1,7,259.643,15.11,11.5779999999999,2.56200000000001,2.68700000000001,2.85900000000003,4.38999999999998,2.10900000000003,2.51499999999998,2.28100000000006,2.04699999999991,3.04700000000002,1,1,7,19,1,1
32.5,62.5,67.5,50,62.5,62.5,0,0,1,0,0,1,1,0,-1,5,128.185999999999,4.375,3.875,2.18700000000001,4.36000000000001,3.875,2.38999999999998,1.85900000000003,1.70299999999997,1.64100000000007,1.88999999999998,2.13999999999998,5,1,7,24,1,1
57.5,77.5,77.5,70,62.5,75,0,0,0,1,0,1,1,0,-1,5,238.062,7.57799999999997,7.45299999999997,6.70299999999997,4.4380000000001,25.11,3.56299999999998,2.46899999999993,6.13999999999998,5.17200000000002,5.375,5.56200000000001,5,0,7,23,0,0
87.5,32.5,55,62.5,87.5,45,0,0,0,0,1,0,0,1,1,5,229.861,16.1399999999999,23.906,3.42199999999991,5.96900000000005,4.59399999999993,2.73500000000001,3.92200000000002,1.75,2.45299999999997,1.76600000000007,1.71899999999993,4,0,7,23,1,1
65,70,77.5,67.5,77.5,82.5,0,0,0,1,0,1,1,0,-1,8,234.688,4.70300000000008,2.1099999999999,2.01599999999996,4.29700000000002,1.90699999999992,2.54700000000002,1.43700000000001,2.07799999999997,1.92200000000002,3.18700000000001,2.88999999999998,5,1,7,24,1,1
62.5,30,42.5,37.5,77.5,65,0,0,0,0,1,0,0,1,1,6,263.235,31.797,43.375,32.141,30.8429999999998,43.6869999999999,86.094,2.84400000000005,2.4380000000001,1.78099999999994,1.79700000000002,3.45299999999997,7,0,7,20,1,0
45,65,75,72.5,80,67.5,0,1,0,0,0,0,1,1,-1,4,194.22,106.063,38.735,3.5,2.51499999999998,5.43799999999998,2.40600000000006,2.54699999999991,3.14100000000007,1.26599999999996,1.43700000000001,1.28099999999994,3,0,7,23,1,1
45,72.5,65,67.5,65,67.5,0,0,0,1,0,1,1,0,1,6,334.438,6.5,4.8130000000001,6.06299999999998,4.71899999999993,6.13999999999998,2.04700000000002,2.06299999999998,2.07800000000008,1.5630000000001,2.0630000000001,1.625,2,1,7,27,0,0
65,60,95,20,45,87.5,0,1,0,0,0,0,1,0,-1,6,185.922,11.5469999999999,20.156,44.5309999999999,3.375,4.42200000000002,3.5,2.65700000000003,1.875,1.68700000000001,1.875,1.67200000000002,2,1,9,20,1,1
65,70,27.5,60,82.5,45,0,0,0,1,0,1,1,0,-1,7,229.874,9.82799999999997,5.73400000000003,4.34300000000001,5.031,6.01499999999998,2.81200000000001,3.01500000000004,3.17199999999996,2.59399999999999,2.79700000000002,2.32799999999997,5,0,9,29,1,1
52.5,72.5,62.5,72.5,65,35,0,0,1,0,0,1,1,0,1,5,171.795,5.156,3.04700000000002,2.42199999999996,3.10900000000003,9.875,1.906,1.73399999999998,1.95300000000003,4.96800000000001,2.68700000000001,3.20300000000003,5,1,9,20,1,1
32.5,57.5,65,62.5,62.5,57.5,0,0,1,0,0,1,1,0,1,7,243.469,6.20299999999997,2.54699999999996,2.73399999999998,3.031,6.375,1.875,2.20299999999997,3.61000000000001,1.84399999999999,2.125,2.79699999999996,4,0,9,22,1,1
42.5,60,70,67.5,67.5,62.5,0,0,0,1,0,1,1,0,-1,6,280.158,8.71900000000005,4.531,7.82800000000003,34.532,3.96899999999999,7.5,5.07799999999997,3.375,1.60899999999998,3.125,2.406,3,1,9,24,0,0
35,52.5,85,52.5,67.5,70,0,0,1,0,0,1,1,0,-1,5,268.705999999999,7.906,5.34399999999999,10.4689999999999,9.625,9.95299999999997,1.76500000000004,1.25,2.10999999999995,2.36000000000001,2.06299999999998,3.34399999999999,5,1,9,24,1,0
47.5,50,50,47.5,50,50,0,0,0,0,1,0,0,0,1,7,270.107,3.64100000000002,3.89000000000004,2.20299999999997,2.04700000000002,2.656,2.03200000000003,1.42199999999996,1.29599999999999,1.82799999999997,1.42099999999999,1.57799999999997,4,0,9,85,0,0
57.5,62.5,55,50,70,62.5,0,0,1,0,0,1,0,0,-1,4,215.326,11.985,9.59399999999999,5.28199999999998,1.92199999999996,2.15699999999998,1.95300000000003,2.84399999999999,1.64099999999996,1.906,5.40699999999998,1.625,0,1,9,23,1,0
67.5,72.5,70,82.5,62.5,55,0,0,1,0,0,1,1,0,1,3,218.735,9.82799999999997,5.125,2.59299999999996,50.5159999999999,4.67199999999996,2.89100000000002,3.781,2.06199999999995,1.96899999999999,13.406,2.31200000000001,4,1,9,25,1,1
75,75,70,80,65,72.5,0,0,0,1,0,1,0,0,-1,8,151.406,2.65699999999998,2.35899999999998,2.25,1.68799999999998,1.42199999999996,1.26600000000002,1.625,2.04700000000002,1.51599999999996,2,1.59300000000001,2,1,9,23,1,1
70,67.5,92.5,70,47.5,67.5,0,1,0,0,0,0,1,0,1,7,183.657,5.82800000000003,2.156,1.81300000000004,1.96899999999999,2.85899999999998,4.43799999999998,1.26599999999996,1.656,1.45300000000003,2.281,3.64100000000002,5,1,9,24,1,1
42.5,85,67.5,32.5,65,67.5,0,0,0,0,1,0,0,0,1,5,239.295999999999,8.59399999999999,4.46900000000005,2.46899999999999,6.79699999999996,4.20299999999997,2.656,2.68700000000001,1.71899999999999,1.95299999999997,2.70299999999997,2.76499999999998,5,0,9,22,1,1
57.5,67.5,55,10,97.5,42.5,0,0,0,0,1,0,1,0,-1,6,284.327999999999,5.71799999999996,4.204,5.07799999999997,4.906,9.28199999999998,9.07799999999997,3.54699999999996,4.68799999999998,4.32799999999997,2.70300000000008,4.17200000000002,5,1,9,39,1,1
47.5,72.5,37.5,47.5,65,62.5,0,1,0,0,0,0,1,0,-1,8,231.294999999999,8.76499999999998,4.875,4.656,53.2969999999999,3.04700000000002,2.42200000000002,2.68799999999998,1.71899999999993,2.96900000000005,3.54599999999993,7.85899999999992,4,0,9,20,0,1
72.5,50,60,62.5,75,75,0,1,0,0,0,0,1,0,1,7,313.142,16.4839999999999,5.40699999999998,5.29700000000002,8.781,3.125,1.781,1.48500000000001,1.79700000000002,2.29699999999996,2.29700000000002,1.64100000000002,4,0,12,27,1,0
42.5,37.5,90,72.5,25,82.5,0,0,1,0,0,1,1,0,-1,8,217.609,2.75,5.21899999999999,2.09399999999999,3.704,1.79700000000002,1.875,2.281,1.89100000000002,2.156,1.90700000000003,1.656,2,1,12,31,1,1
65,52.5,30,62.5,30,20,0,0,0,0,1,0,1,0,-1,4,118.345,3.781,2.68700000000001,1.48399999999998,4.71799999999996,18.6089999999999,3.04700000000002,1.656,1.63999999999998,1.406,1.54700000000002,1.89100000000002,5,0,12,27,1,1
60,42.5,50,50,62.5,42.5,0,1,0,0,0,0,0,1,-1,5,194.967,16.859,6.5,3.23499999999995,4,3.031,2.06199999999995,1.75,1.43800000000004,2.17200000000002,1.60999999999995,2.70300000000003,1,0,12,24,1,1
62.5,50,80,37.5,50,80,0,0,0,1,0,1,1,0,1,6,250.859,6.18700000000001,3.60899999999998,2.76600000000002,2.531,5.32799999999997,5.31200000000001,1.89099999999996,1.625,1.68700000000001,1.81299999999998,1.92200000000002,5,1,12,27,1,1
37.5,47.5,37.5,32.5,77.5,55,0,0,1,0,0,1,1,0,1,9,151.842999999999,7.54699999999996,2.40700000000003,2.32799999999997,2.65700000000003,5.656,2.56200000000001,1.70300000000003,1.81200000000001,1.60899999999998,2.28200000000003,2.14100000000002,4,1,12,27,0,1
70,47.5,47.5,62.5,65,32.5,0,0,1,0,0,1,1,0,1,4,133.424,6.625,2.35900000000003,2.92200000000002,3.75,8.18700000000001,8.21900000000005,1.92200000000002,1.39099999999996,1.375,1.56300000000004,1.64100000000002,5,0,12,20,1,1
77.5,42.5,55,72.5,70,67.5,0,0,1,0,0,1,1,0,-1,8,302.655,2.98399999999998,2.81199999999995,2.656,4.031,2.43700000000001,2.76600000000002,1.75,1.75,2.93699999999995,1.79699999999996,3.31199999999995,6,0,12,24,0,0
52.5,60,75,72.5,80,57.5,0,0,0,0,1,0,1,0,-1,5,216.939999999999,6.93700000000001,7.18700000000001,3.84300000000001,2.375,12.7029999999999,2.54699999999996,6.95299999999997,2.46899999999999,2.07799999999997,2.43700000000001,2.53099999999994,4,1,12,24,1,1
55,70,82.5,80,82.5,72.5,0,0,0,1,0,1,1,0,1,7,189.185999999999,3,1.92200000000002,1.79700000000002,7.57800000000003,2.26600000000002,2.25,1.375,3.09399999999999,1.76600000000002,1.28199999999998,1.531,5,0,12,26,1,1
40,35,45,45,35,65,0,0,0,0,1,0,0,0,-1,5,299.765,7.09299999999996,7.04700000000002,14.7179999999999,7.48400000000003,3.71900000000005,4.01499999999998,4.26499999999998,2.75,2.35899999999998,2.031,1.906,2,1,12,28,1,1
70,75,65,90,52.5,67.5,0,0,0,1,0,1,1,0,-1,5,177.265,3.73500000000001,4.48499999999995,7.79699999999996,4.64100000000002,4.70299999999997,2.01600000000002,1.43799999999998,1.23399999999998,1.34399999999999,1.36000000000001,2.42199999999996,5,1,12,29,1,1
47.5,75,55,65,37.5,67.5,0,0,1,0,0,1,1,0,-1,10,244.063,5.21900000000005,8.43800000000004,2.86000000000001,1.79699999999996,1.48399999999998,2.17099999999999,2,1.40700000000003,1.25,1.36000000000001,1.68800000000004,1,1,12,22,1,1
37.5,60,52.5,70,70,70,0,0,0,0,1,0,0,0,-1,5,235.985,10.25,13.9689999999999,3.65699999999998,3.26499999999998,2.61000000000001,4.70299999999997,1.90599999999994,1.76600000000002,3.54700000000002,3.31200000000001,3.06200000000001,1,1,12,23,1,1
67.5,65,65,50,82.5,57.5,0,0,0,1,0,1,0,0,-1,5,91.2669999999991,5.64100000000002,2.68799999999998,3.10899999999998,8.18700000000001,6.29700000000002,7.125,2.579,2.21899999999999,2.40699999999998,2.21899999999999,2.15699999999998,5,1,13,21,1,0
97.5,35,67.5,55,65,77.5,0,0,0,1,0,1,1,0,-1,6,207.672,4.48399999999998,3.93700000000001,2.5,2.281,1.79699999999996,1.71800000000001,1.75,1.88999999999998,1.45300000000003,3.21800000000001,1.82799999999997,0,1,13,25,0,0
55,72.5,75,77.5,65,62.5,0,0,0,0,1,0,1,0,1,6,253.093,16.297,7.63999999999998,5.51499999999998,4.875,11.4219999999999,15.672,8.34400000000005,2.56299999999998,2.01599999999996,3.82900000000006,5.10900000000003,5,1,13,40,0,0
47.5,45,37.5,30,47.5,67.5,0,0,0,1,0,1,1,0,-1,6,237.233999999999,5.57799999999997,8.43799999999998,2.704,8.59300000000001,6.01600000000002,3.14099999999996,3.82800000000003,5.57799999999997,4.28199999999998,3.95300000000003,3.71899999999999,1,1,13,41,0,0
65,85,65,80,90,52.5,0,1,0,0,0,0,1,0,1,6,262.906,5.57799999999997,4.579,4.21800000000001,9.09300000000001,4.57799999999997,1.95299999999997,1.906,3.09399999999999,1.781,1.906,2.29599999999999,4,1,13,41,1,1
